Authors	Title	Citation	DOI	Year	Month	0	1	2	3	Score	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	First_Author	Last_author	Duration in Career	Highest Degree Obtained	Degree Area	Publication Rate	Other Journals Published in	University_name	Type	Established	Academic_staff	Students	No_in_lab	Country	Latitude	Longitude	Campus	world_rank	teaching	international	research	citations	income	student_staff_ratio	international_students	female_male_ratio	pop_density_map.png	privacy_map.jpg	english_language_map.png	Grover identified falsification
Hong Yu, Yuhao Sun, Courtney Haycraft, Viswanathan Palanisamy, Keith L. Kirkwood	MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1	Cytokine 56 (2011) 245Ð255	10.1016/j.cyto.2011.06.006	2011			1			4	Duplicated negative blot	1				1	1	Hong Yu	Ling Zhi Li	21	MD	Oral Health Sciences	2.09	cell biology	University of Massachusetts	Public	1863	0	72796	0	United States	42.388889	-72.527778	Urban	141	40.2	48.9	36.3		52.2	13	0.11	2.077083333	0	0	0	Original
Markus Neumeier, Sabrina Bauer, Hilke Bru_hl, Kristina Eisinger, Andrea Kopp, Sabine Abke, Roland Walter, Andreas Schffler, Christa Buechler n	Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes	Cytokine 56 (2011) 573Ð580	10.1016/j.cyto.2011.08.017	2011				1		3	Two cases of duplicated blots, different exposure	1	06-01-2013		1		1	Markus Neumeier	Li-Ke Zhang	14	PhD	Anaesthetics	6.0714	Cytokine	University of Regensburg	Public	1962	1612	21088	13.0818859	Germany	-48.998056	-12.095	Urban										0	0	0	Original
Ping Chen, Liya Huang, Yunwei Sun, Yaozong Yuan	Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury	Cytokine 54 (2011) 305Ð314	10.1016/j.cyto.2011.02.016	2011				1		3	Overlapping microscopy, duplicated blots, multiple cases	1				1	1	Ping Chen	Naomi K. Fukagawa	9	PhD	Gastroenterology	0.8888	molecular biology	Pennsylvania State University	Public	1855	8864	96408	10.8763538	United States	-40.796111	77.8627778	Rural	75	50.4	40.8	61.9		56.2	12.4	0.12	1.954166667	0	0	0	Original
Ye Zeng, Hu-Rong Sun, Chang Yu, Yi Lai, Xiao-Jing Liu, Jiang Wu, Huai-Qing Chen, Xiao-Heng Liu	CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration	Cytokine 53 (2011) 42Ð51	10.1016/j.cyto.2010.09.007	2011					1	4	Duplication, stretching, what not, the lot	1				1	1	Ye Zeng	Eun-Cheol Kim	13	PhD	Forensic Medicine	4.38	cell biology	Sichuan University	Public	1896	11357	70000	6.163599542	China	-30.633056	-104.08778		701	25	15.7	18.4	98.5	90.8	14.5	0.02	2.036111111	0	0	0	Original
Yue Wang, Ye Qu, Xiu Long Niu, Wei Jia Sun, Xiao Lei Zhang, Ling Zhi Li	Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells	Cytokine 56 (2011) 365Ð375	10.1016/j.cyto.2011.06.005	2011					1	2	Duplicated bands in different order	1				1	1	Yue Wang	Munmun Chattopadhyay	19	PhD	Immunology	1	cellbiology	Massachusetts Institute of Technology	Private	1861	1074	11520	10.726257	United States	-42.36	71.0919444	Urban	5	89.4	84	88.6	88.1	95.4	9	0.33	37 : 63	0	0	0	Original
Hong-Xia Wang, Dong-Mei Zhang, Xiang-Jun Zeng, Jing Mu, Hui Yang, Ling-Qiao Lu, Li-Ke Zhang	Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway	Cytokine 60 (2012) 360Ð368	10.1016/j.cyto.2012.04.029	2012					1	3	Duplicated blot, lanes within blot	1				1	1	Hong-Xia Wang	KyoungSik Park (only one author)	9	PhD	Genetics	0.2222	biochemistry	Stanford University	Private	1891	2240	17249	7.70044643	United States	-37.428333	122.168889	Suburban	3	92.5	76.3	96.2		63.3	7.8	0.22	1.790277778	0	0	0	Original
Muyao Li, Mickey E. Gunter, Naomi K. Fukagawa	Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ÔÔsix-mixÕÕ amphiboles and subsequent activation of BEAS-2B cells	Cytokine 60 (2012) 718Ð730	10.1016/j.cyto.2012.08.025	2012			1			3	Duplicated actin blot	1	06-01-2017		1		1	Muyao Li	Lei-Sheng Jiang	26	MD	biology	1.19	cell biology	University of Vermont	Public	1791	1196	0	0	United States	-44.476111	73.195	Urban	376	26.8	21	19.4	80.5	-				1	0	0	Original
Yong-Duk Park, Young-Suk Kim, Yu-Mi Jung, Sang-Im Lee, Young-Man Lee, Jae-Beum Bang, Eun-Cheol Kim	Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells	Cytokine 60 (2012) 284Ð293	10.1016/j.cyto.2012.05.021	2012					1	4	Multiple, multiple cases of duplicated lanes within blots/gels	1				1	1	Yong-Duk Park	Jeffrey Sklar	7	PhD	Biochemistry	1.1428	PLoS ONE	Kyung Hee University	Private	1949	1442	33487	23.2226075	South Korea	37.5966667	127.051667	Urban	450	26.1	46.4	27.6	16.1	89.4	17.4	0.14		2	0	0	Original
Christina Galloway, Munmun Chattopadhyay 	Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes	Cytokine 63 (2013) 1Ð5	10.1016/j.cyto.2013.04.009	2013				1		4	Duplicated control panel, stretched	1				1	1	Christina Galloway	Sarah Spiegel	7	PhD	Neuroscience	0.2857	cell biology	University of Michigan	Public	1817	6771	46002	6.7939743	United States	-42.276944	83.7380556		21	76.8	53.7	85.2	99.7	56.3	9	0.16	2.036111111	0	0	4	Original
Kyoung Sik Park (only one author)	Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes	Cytokine 62 (2013) 407Ð412	10.1016/j.cyto.2013.04.005	2013					1	4	Multiple cases of duplicated bands within same blot panel	1				1	1	Kyoung Sik Park (only one author)	Turgay Dalkaraen	7	PhD	biology	5.2857	cellular biology	Konkuk University	Private	1931	1200	29600	24.6666667	South Korea	-37.541944	-127.07639	Urban	701	20	22.6	19.6	99.9	36	23.5	0.06	1.995138889	0	0	4	Original
Bin-Bin Ni, Bo Li, Yue-Hua Yang, Jiang-Wei Chen, Ke Chen, Sheng-Dan Jiang, Lei-Sheng Jiang 	The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation	Cytokine 70 (2014) 87Ð96	10.1016/j.cyto.2014.07.249	2014				1		2	Duplicated FACS panel, gated differently	1				1	1	Bin-Bin Ni	Shigekazu Nagata	6	PhD	biology	0.5	cellular biology	University of California, Los Angeles	Public	1919	4016	45742	11.3899402	United States	-34.069444	118.445278	Urban	16	80.8	56.4	88.6	57.5	47.9	10.3	0.15	2.2	0	0	0	Original
